,head,variable,value
24,Course2_W8-S1-L5_Word_Similarity-_Distributional_Similarity_II_8-15,concept_vocab_index,vi984
25,Course2_W2-S1-L6_Interpolation_10-25,l_text_topics,topic_4
26,Course2_W8-S2-L3_Passage_Retrieval_and_Answer_Extraction_6-38,concept_vocab_index,vi774
27,Course1_W8-S1-L4_Features_in_Log-Linear_Taggers_13-21,concept_vocab_index,vi991
28,Course1_W6-S1-L2_Learning_Phrases_from_Alignments_Part_1_9-18,concept_vocab_index,vi470
29,Course1_W9-S2-L2_Recap_of_History-based_Models_7-11,concept_vocab_index,vi909
30,Course2_W2-S2-L4_State_of_the_Art_Systems_7-10,concept_vocab_index,vi1392
31,Course3_W11-S1-L1_-_Sentiment_Analysis_-_17_slides_08-49,concept_vocab_index,vi43
32,Course3_W7-S1-L2_-_Part_of_Speech_Tagging_-_15_slides_18-08,concept_vocab_index,vi1341
33,Course2_W1-S2-L1_Regular_Expressions_11-25,concept_vocab_index,vi1206
34,Course3_W5-S1-L1_-_Parsing_Introduction_and_recap-Parsing_noun_sequences_-_20_slides_15-19,concept_vocab_index,vi43
35,Course1_W3-S2-L4_The_CKY_Parsing_Algorithm_Part_1__7-31,concept_vocab_index,vi1283
36,Course3_W3-S1-L1_-_Semantic_Similarity-_Synonymy_and_other_Semantic_Relations_-_23__slides_14-38,concept_vocab_index,vi1443
37,Course2_W6-S1-L5_Constituency_Parser_Evaluation_9-45,concept_vocab_index,vi991
38,Course1_W9-S1-L7_Clusters_in_NE_Recognition_Part_2_7-28,concept_vocab_index,vi351
39,Course3_W1-S1-L7_-_Linguistics_-_23_slides_21-27,concept_vocab_index,vi1449
40,Course3_W3-S1-L5_-_NLP_Tasks_1-3_-_16_slides_14-45,concept_vocab_index,vi993
41,Course3_W8-S1-L4_-_Question_Answering_Systems_1-2_-_14_slides_14-23,concept_vocab_index,vi1003
42,Course3_W8-S1-L1_-_Question_Answering_-_21_slides_21-39,concept_vocab_index,vi1108
43,Course3_W2-S1-L7_-_Preprocessing_-_9_slides_11-48,concept_vocab_index,vi73
44,Course3_W12-S1-L2_-_Coherence_-_19_slides_16-39,concept_vocab_index,vi122
45,Course1_W1-S3-L1_Linear_Interpolation_Part_1_7-46,concept_vocab_index,vi545
46,Course3_W1-S1-L5_-_Why_is_NLP_hard_-_18_slides_25-56,concept_vocab_index,vi134
47,Course1_W10-S2-L4_GLMs_for_Dependency_Parsing_Part_1_11-59,concept_vocab_index,vi442
48,Course3_W8-S1-L4_-_Question_Answering_Systems_1-2_-_14_slides_14-23,concept_vocab_index,vi144
49,Course1_W7-S1-L4_Features_in_Log-Linear_Models_Part_2_10-13,l_text_topics,topic_12
50,Course2_W2-S1-L3_Evaluation_and_Perplexity_11-09,concept_vocab_index,vi1206
51,Course2_W2-S1-L3_Evaluation_and_Perplexity_11-09,concept_vocab_index,vi1403
52,Course3_W4-S1-L4_-_Earley_Parser_-_20_slides_16-34,l_text_topics,topic_6
53,Course1_W3-S1-L10_Examples_of_Ambiguity_5-56,concept_vocab_index,vi262
54,Course1_W4-S1-L1_Weaknesses_of_PCFGs_14-59,l_text_topics,topic_1
55,Course3_W8-S1-L4_-_Question_Answering_Systems_1-2_-_14_slides_14-23,concept_vocab_index,vi945
56,Course3_W8-S1-L1_-_Question_Answering_-_21_slides_21-39,concept_vocab_index,vi1274
57,Course1_W1-S3-L2_Linear_Interpolation_Part_2_11-35,concept_vocab_index,vi112
58,Course1_W4-S2-L3_Lexicalized_PCFGs-_Basic_Definitions_12-40,concept_vocab_index,vi257
59,Course1_W3-S1-L9_A_Simple_Grammar_for_English_Part_4_2-20,concept_vocab_index,vi991
60,Course3_W5-S1-L5_-_Statistical_Parsing_-_29_slides_12-52,concept_vocab_index,vi73
61,Course3_W7-S1-L1_-_Noisy_Channel_Model_-_8_slides_08-33,level,level_2
62,Course1_W5-S1-L3_Challenges_in_MT_8-06,concept_vocab_index,vi31
63,Course2_W5-S1-L3_Conditional_Maxent_Models_for_Classification_4-11,concept_vocab_index,vi915
64,Course1_W8-S1-L4_Features_in_Log-Linear_Taggers_13-21,concept_vocab_index,vi1074
65,Course2_W4-S2-L4_Maximum_Entropy_Sequence_Models_13-01,concept_vocab_index,vi137
66,Course3_W1-S1-L2_-_Examples_of_Text_-_14_slides_07-52,concept_vocab_index,vi55
67,Course1_W7-S1-L4_Features_in_Log-Linear_Models_Part_2_10-13,l_text_topics,topic_11
68,Course2_W4-S3-L1_What_is_Relation_Extraction_9-47,concept_vocab_index,vi351
69,Course1_W6-S2-L3_Definition_of_the_Decoding_Problem_Part_3_10-43,l_text_topics,topic_6
70,Course3_W5-S1-L4_-_Prepositional_phrase_attachment_3-3_-_18_slides_12-53,concept_vocab_index,vi1206
71,Course2_W4-S1-L1_Generative_vs,l_text_topics,topic_11
72,Course3_W11-S1-L6_-_Knowledge_Representation_-_15_slides_12-18,concept_vocab_index,vi134
73,Course3_W11-S1-L1_-_Sentiment_Analysis_-_17_slides_08-49,l_text_topics,topic_10
74,Course2_W2-S2-L3_Real-Word_Spelling_Correction_9-19,concept_vocab_index,vi47
75,Course3_W9-S1-L4_-_Summarization_Techniques_3-3_-_17_slides_10-23,concept_vocab_index,vi659
76,Course2_W1-S1-L1_Course_Introduction_14-11,concept_vocab_index,vi915
77,Course2_W4-S2-L1_Introduction_to_Information_Extraction_9-18,concept_vocab_index,vi725
78,Course1_W8-S1-L7_An_Example_Application_9-28,concept_vocab_index,vi1124
79,Course1_W9-S1-L2_Word_Cluster_Representations_8-36,concept_vocab_index,vi74
80,Course1_W7-S1-L9_Smoothing-Regularization_in_Log-linear_Models_15-12,concept_vocab_index,vi1206
81,Course2_W4-S1-L4_Building_a_Maxent_Model-_The_Nuts_and_Bolts_8-04,concept_vocab_index,vi848
82,Course2_W8-S2-L4_Using_Knowledge_in_QA_4-25,concept_vocab_index,vi1206
83,Course2_W4-S1-L2_Making_features_from_text_for_discriminative_NLP_models_18-11,concept_vocab_index,vi1206
84,Course2_W4-S1-L1_Generative_vs,concept_vocab_index,vi798
85,Course3_W2-S1-L4_-_Morphological_Similarity-_Stemming_-_19_slides_15-05,concept_vocab_index,vi449
86,Course1_W9-S1-L5_The_Brown_Clustering_Algorithm_Part_3_9-18,concept_vocab_index,vi330
87,Course1_W10-S2-L3_The_Dependency_Parsing_Problem_Part_2_13-53,concept_vocab_index,vi47
88,Course2_W7-S1-L3_The_Inverted_Index_10-42,l_text_topics,topic_9
89,Course2_W7-S1-L3_The_Inverted_Index_10-42,concept_vocab_index,vi1186
90,Course2_W6-S2-L5_Latent_Variable_PCFGs_12-07,concept_vocab_index,vi1164
91,Course3_W11-S1-L8_-_Semantic_Parsing_-_24_slides_09-30,prerequisite,Course3_W11-S1-L7_-_Inference_-_9_slides_06-45
92,Course2_W8-S1-L5_Word_Similarity-_Distributional_Similarity_II_8-15,concept_vocab_index,vi1443
93,Course3_W1-S1-L5_-_Why_is_NLP_hard_-_18_slides_25-56,concept_vocab_index,vi1003
94,Course3_W3-S1-L6_-_NLP_Tasks_2-3_-_20_slides_15-33,concept_vocab_index,vi538
95,Course2_W3-S1-L4_Naive_Bayes-_Learning_5-22,l_text_topics,topic_7
96,Course3_W12-S1-L5_-_Machine_Translation_Basic_Techniques_-_13_slides_11-48,concept_vocab_index,vi1443
97,Course2_W3-S2_L2_Sentiment_Analysis-_A_baseline_algorithm_13-27,concept_vocab_index,vi345
98,Course3_W6-S1-L3_-_Language_Modeling_1-3_-_18_slides_19-21,concept_vocab_index,vi14
99,Course1_W9-S2-L3_Motivation_for_GLMs_6-34,l_text_topics,topic_14
100,Course1_W1-S2-L1_Introduction_to_the_Language_Modeling_Problem_Part_1_6-17,concept_vocab_index,vi43
101,Course3_W9-S1-L5_-_Summarization_Evaluation_-_24_slides_25-49,concept_vocab_index,vi1124
102,Course1_W10-S1-L3_GLMs_for_Tagging_Part_1_5-26,concept_vocab_index,vi993
103,Course2_W6-S2-L1_Lexicalization_of_PCFGs_7-03,level,level_3
104,Course1_W3-S1-L8_A_Simple_Grammar_for_English_Part_3_11-21,concept_vocab_index,vi1206
105,Course3_W9-S1-L5_-_Summarization_Evaluation_-_24_slides_25-49,concept_vocab_index,vi545
106,Course1_W4-S2-L4_Parameter_Estimation_in_Lexicalized_PCFGs_Part_1_5-28,concept_vocab_index,vi946
107,Course1_W8-S1-L7_An_Example_Application_9-28,concept_vocab_index,vi1103
108,Course1_W9-S1-L6_Clusters_in_NE_Recognition_Part_1_11-33,concept_vocab_index,vi1338
109,Course2_W6-S2-L4_The_Return_of_Unlexicalized_PCFGs_20-53,concept_vocab_index,vi134
110,Course2_W8-S1-L2_WordNet_and_Other_Online_Thesauri_6-23,concept_vocab_index,vi1130
111,Course3_W10-S1-L1_-_Collocations_-_20_slides_11-54,concept_vocab_index,vi88
112,Course2_W1-S2-L4_Word_Normalization_and_Stemming_11-47,concept_vocab_index,vi848
113,Course3_W2-S1-L6_-_NACLO_-_11_slides_03-51,concept_vocab_index,vi468
114,Course3_W11-S1-L2_-_Sentiment_Lexicons_-_12_slides_07-53,concept_vocab_index,vi14
115,Course1_W7-S1-L2_Two_Example_Problems_11-19,concept_vocab_index,vi55
116,Course2_W2-S2-L4_State_of_the_Art_Systems_7-10,concept_vocab_index,vi468
117,Course2_W7-S1-L2_Term-Document_Incidence_Matrices_8-59,concept_vocab_index,vi1115
118,Course2_W1-S2-L3_Word_Tokenization_14-26,concept_vocab_index,vi1240
119,Course1_W8-S1-L6_The_Viterbi_Algorithm_for_Log-linear_Taggers_9-37,l_text_topics,topic_6
120,Course3_W4-S1-L5_-_The_Penn_Treebank_-_21_slides_17-55,concept_vocab_index,vi909
121,Course1_W2-S1-L4_Parameter_Estimation_in_HMMs_13-16,concept_vocab_index,vi625
122,Course1_W10-S2-L3_The_Dependency_Parsing_Problem_Part_2_13-53,concept_vocab_index,vi586
123,Course3_W4-S1-L2_-_Parsing_-_22_slides_17-38,concept_vocab_index,vi988
124,Course2_W1-S3-L5_Minimum_Edit_Distance_in_Computational_Biology_9-29,level,level_3
125,Course1_W10-S2-L5_GLMs_for_Dependency_Parsing_Part_2_8-28,l_text_topics,topic_14
126,Course3_W11-S1-L6_-_Knowledge_Representation_-_15_slides_12-18,concept_vocab_index,vi954
127,Course2_W4-S3-L1_What_is_Relation_Extraction_9-47,l_text_topics,topic_4
128,Course1_W1-S3-L1_Linear_Interpolation_Part_1_7-46,concept_vocab_index,vi1209
129,Course1_W3-S2-L1_Introduction_1-12,concept_vocab_index,vi984
130,Course3_W7-S1-L1_-_Noisy_Channel_Model_-_8_slides_08-33,concept_vocab_index,vi1422
131,Course3_W6-S1-L3_-_Language_Modeling_1-3_-_18_slides_19-21,concept_vocab_index,vi116
132,Course2_W6-S3-L2_Greedy_Transition-Based_Parsing_31-05,l_text_topics,topic_14
133,Course3_W6-S1-L1_-_Probabilities_-_17_slides_21-11,concept_vocab_index,vi81
134,Course3_W12-S1-L1_-_Discourse_Analysis_-_19_slides_14-56,concept_vocab_index,vi47
135,Course2_W8-S3-L3_Evaluating_Summaries-_ROUGE,concept_vocab_index,vi1111
136,Course3_W10-S1-L5_-_Text_Clustering_-_17_slides_15-39,level,level_2
137,Course1_W5-S2-L9_Summary_1-48,concept_vocab_index,vi62
138,Course2_W1-S2-L4_Word_Normalization_and_Stemming_11-47,concept_vocab_index,vi1108
139,Course3_W6-S1-L1_-_Probabilities_-_17_slides_21-11,concept_vocab_index,vi43
140,Course2_W8-S3-L4_Summarizing_Multiple_Documents,concept_vocab_index,vi148
141,Course3_W8-S1-L2_-_Evaluation_of_QA__System_Architecture_-_21_slides_21-59,level,level_2
142,Course2_W3-S2_L2_Sentiment_Analysis-_A_baseline_algorithm_13-27,concept_vocab_index,vi1363
143,Course1_W5-S2-L7_The_EM_Algorithm_for_IBM_Model_2_Part_3_9-28,concept_vocab_index,vi873
144,Course1_W9-S2-L2_Recap_of_History-based_Models_7-11,concept_vocab_index,vi468
145,Course2_W5-S3-L1_Syntactic_Structure-_Constituency_vs_Dependency_8-46,concept_vocab_index,vi945
146,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi31
147,Course1_W8-S1-L7_An_Example_Application_9-28,prerequisite,Course1_W8-S1-L6_The_Viterbi_Algorithm_for_Log-linear_Taggers_9-37
148,Course3_W2-S1-L7_-_Preprocessing_-_9_slides_11-48,concept_vocab_index,vi226
149,Course3_W12-S1-L5_-_Machine_Translation_Basic_Techniques_-_13_slides_11-48,concept_vocab_index,vi713
150,Course1_W8-S2-L5_Features_and_Beam_Search_12-10,concept_vocab_index,vi442
151,Course2_W1-S3-L3_Backtrace_for_Computing_Alignments_5-55,concept_vocab_index,vi47
152,Course2_W2-S2-L2_The_Noisy_Channel_Model_of_Spelling_19-30,concept_vocab_index,vi329
153,Course3_W1-S1-L7_-_Linguistics_-_23_slides_21-27,concept_vocab_index,vi289
154,Course1_W2-S1-L4_Parameter_Estimation_in_HMMs_13-16,concept_vocab_index,vi468
155,Course2_W1-S1-L1_Course_Introduction_14-11,concept_vocab_index,vi468
156,Course3_W4-S1-L1_-_Syntax_-_30_slides_31-02,concept_vocab_index,vi980
157,Course2_W8-S2-L5_Advanced-_Answering_Complex_Questions_4-52,concept_vocab_index,vi43
158,Course2_W6-S3-L1_Dependency_Parsing_Introduction_10-25,concept_vocab_index,vi1206
159,Course1_W5-S1-L3_Challenges_in_MT_8-06,concept_vocab_index,vi991
160,Course1_W5-S1-L3_Challenges_in_MT_8-06,concept_vocab_index,vi873
161,Course1_W5-S2-L1_Introduction_3-24,concept_vocab_index,vi848
162,Course1_W7-S1-L2_Two_Example_Problems_11-19,concept_vocab_index,vi991
163,Course3_W12-S1-L6_-__Machine_Translation_Noisy_Channel_Methods_-_22_slides_11-53,concept_vocab_index,vi62
164,Course3_W7-S1-L2_-_Part_of_Speech_Tagging_-_15_slides_18-08,concept_vocab_index,vi1274
165,Course3_W2-S1-L6_-_NACLO_-_11_slides_03-51,concept_vocab_index,vi991
166,Course3_W1-S1-L5_-_Why_is_NLP_hard_-_18_slides_25-56,concept_vocab_index,vi73
167,Course2_W3-S2_L5_Other_Sentiment_Tasks_11-01,concept_vocab_index,vi1206
168,Course2_W6-S3-L1_Dependency_Parsing_Introduction_10-25,l_text_topics,topic_1
169,Course2_W1-S2-L4_Word_Normalization_and_Stemming_11-47,concept_vocab_index,vi73
170,Course3_W11-S1-L8_-_Semantic_Parsing_-_24_slides_09-30,concept_vocab_index,vi1206
171,Course1_W10-S2-L4_GLMs_for_Dependency_Parsing_Part_1_11-59,concept_vocab_index,vi1274
172,Course2_W1-S3-L1_Defining_Minimum_Edit_Distance_7-04,concept_vocab_index,vi147
173,Course2_W2-S2-L1_The_Spelling_Correction_Task_5-39,concept_vocab_index,vi1022
174,Course1_W7-S1-L2_Two_Example_Problems_11-19,concept_vocab_index,vi993
175,Course2_W2-S1-L1_Introduction_to_N-grams_8-41,concept_vocab_index,vi468
176,Course3_W10-S1-L4_-_Text_Classification_-_26_slides_26-36,concept_vocab_index,vi984
177,Course2_W3-S1-L4_Naive_Bayes-_Learning_5-22,concept_vocab_index,vi911
178,Course2_W7-S1-L4_Query_Processing_with_the_Inverted_Index_6-43,level,level_3
179,Course1_W8-S1-L2_Recap_of_the_Tagging_Problem_3-15,prerequisite,Course1_W8-S1-L1_Introduction_1-41
180,Course3_W2-S1-L1_-_Parts_of_speech_-_17_slides_15-50,concept_vocab_index,vi239
181,Course3_W1-S1-L3_-_Funny_Sentences_-_10_slides_06-35,concept_vocab_index,vi1072
182,Course2_W4-S3-L2_Using_Patterns_to_Extract_Relations_6-17,l_text_topics,topic_5
183,Course2_W3-S2_L4_Learning_Sentiment_Lexicons_14-45,concept_vocab_index,vi1200
184,Course3_W1-S1-L5_-_Why_is_NLP_hard_-_18_slides_25-56,concept_vocab_index,vi43
185,Course2_W2-S2-L3_Real-Word_Spelling_Correction_9-19,concept_vocab_index,vi43
186,Course3_W2-S1-L5_-_Spelling_Similarity-_Edit_Distance_-_32_slides_21-23,concept_vocab_index,vi134
187,Course3_W8-S1-L3_-_System_Architecture_-_9_slides_08-03,concept_vocab_index,vi1252
188,Course2_W7-S2-L2_Scoring_with_the_Jaccard_Coefficient_5-06,concept_vocab_index,vi1108
189,Course1_W10-S2-L7_Summary_2-50,concept_vocab_index,vi1206
190,Course2_W1-S2-L3_Word_Tokenization_14-26,l_text_topics,topic_7
191,Course1_W7-S1-L6_Definition_of_Log-linear_Models_Part_2_3-45,l_text_topics,topic_6
192,Course2_W4-S3-L1_What_is_Relation_Extraction_9-47,concept_vocab_index,vi1314
193,Course1_W6-S2-L6_The_Decoding_Algorithm_Part_3_12-29,concept_vocab_index,vi974
194,Course2_W1-S2-L3_Word_Tokenization_14-26,concept_vocab_index,vi1022
195,Course2_W8-S1-L4_Word_Similarity-_Distributional_Similarity_I_13-14,concept_vocab_index,vi677
196,Course3_W7-S1-L2_-_Part_of_Speech_Tagging_-_15_slides_18-08,concept_vocab_index,vi625
197,Course2_W8-S1-L3_Word_Similarity_and_Thesaurus_Methods_16-17,l_text_topics,topic_1
198,Course3_W5-S1-L4_-_Prepositional_phrase_attachment_3-3_-_18_slides_12-53,concept_vocab_index,vi257
199,Course3_W11-S1-L2_-_Sentiment_Lexicons_-_12_slides_07-53,concept_vocab_index,vi768
200,Course2_W7-S2-L4_Inverse_Document_Frequency_Weighting_10-16,prerequisite,Course2_W7-S2-L3_Term_Frequency_Weighting_5-59
201,Course2_W8-S2-L4_Using_Knowledge_in_QA_4-25,concept_vocab_index,vi69
202,Course2_W8-S2-L3_Passage_Retrieval_and_Answer_Extraction_6-38,prerequisite,Course2_W8-S2-L2_Answer_Types_and_Query_Formulation_8-47
203,Course3_W1-S1-L2_-_Examples_of_Text_-_14_slides_07-52,l_text_topics,topic_10
204,Course3_W6-S1-L4_-_Language_Modeling_1-3_contd_-__5_slides_03-05,concept_vocab_index,vi898
205,Course3_W3-S1-L1_-_Semantic_Similarity-_Synonymy_and_other_Semantic_Relations_-_23__slides_14-38,concept_vocab_index,vi255
206,Course2_W1-S2-L2_Regular_Expressions_in_Practical_NLP_6-04,concept_vocab_index,vi43
207,Course1_W8-S1-L3_Independence_Assumptions_in_Log-linear_Taggers_8-32,concept_vocab_index,vi1422
208,Course3_W1-S1-L7_-_Linguistics_-_23_slides_21-27,concept_vocab_index,vi945
209,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi693
210,Course3_W6-S1-L5_-_Language_Modeling_2-3_-_13_slides_10-56,concept_vocab_index,vi584
211,Course3_W9-S1-L6_-_Sentence_Simplification_-_8_slides_05-30,concept_vocab_index,vi468
212,Course1_W3-S1-L8_A_Simple_Grammar_for_English_Part_3_11-21,concept_vocab_index,vi1072
213,Course3_W3-S1-L1_-_Semantic_Similarity-_Synonymy_and_other_Semantic_Relations_-_23__slides_14-38,concept_vocab_index,vi1331
214,Course2_W1-S2-L3_Word_Tokenization_14-26,concept_vocab_index,vi147
215,Course1_W2-S1-L3_Hidden_Markov_Models_HMMs-_Basic_Definitions_12-00,l_text_topics,topic_12
216,Course1_W2-S1-L3_Hidden_Markov_Models_HMMs-_Basic_Definitions_12-00,concept_vocab_index,vi1422
217,Course2_W2-S1-L6_Interpolation_10-25,concept_vocab_index,vi47
218,Course2_W1-S3-L5_Minimum_Edit_Distance_in_Computational_Biology_9-29,concept_vocab_index,vi137
219,Course1_W10-S2-L3_The_Dependency_Parsing_Problem_Part_2_13-53,concept_vocab_index,vi468
220,Course1_W3-S2-L5_The_CKY_Parsing_Algorithm_Part_2__13-22,concept_vocab_index,vi1081
221,Course3_W5-S1-L6_-_Lexicalized_Parsing_-_12_slides_09-06,concept_vocab_index,vi55
222,Course1_W6-S1-L5_A_Sketch_of_Phrase-based_Translation_8-17,prerequisite,Course1_W6-S1-L4_Learning_Phrases_from_Alignments_Part_3_8-47
223,Course1_W7-S1-L9_Smoothing-Regularization_in_Log-linear_Models_15-12,concept_vocab_index,vi988
224,Course2_W1-S3-L4_Weighted_Minimum_Edit_Distance_2-47,concept_vocab_index,vi255
225,Course1_W3-S1-L6_A_Simple_Grammar_for_English_Part_1_10-32,concept_vocab_index,vi1206
226,Course3_W7-S1-L5_-_Statistical_POS_Tagging_-_16_slides_09-28,level,level_2
227,Course2_W3-S1-L7_Precision_Recall_and_the_F_measure_16-16,concept_vocab_index,vi73
228,Course3_W3-S1-L1_-_Semantic_Similarity-_Synonymy_and_other_Semantic_Relations_-_23__slides_14-38,concept_vocab_index,vi1003
229,Course2_W1-S3-L1_Defining_Minimum_Edit_Distance_7-04,concept_vocab_index,vi14
230,Course3_W5-S1-L3_-_Prepositional_phrase_attachment_2-3_-_20_slides_17-22,concept_vocab_index,vi636
231,Course2_W2-S1-L6_Interpolation_10-25,concept_vocab_index,vi957
232,Course3_W10-S1-L2_-_Information_Retrieval_-_32_slides_21-38,concept_vocab_index,vi459
233,Course3_W7-S1-L7_-_Relation_Extraction_-_28_slides_21-26,concept_vocab_index,vi122
234,Course2_W8-S2-L2_Answer_Types_and_Query_Formulation_8-47,concept_vocab_index,vi363
235,Course3_W3-S1-L3_-_The_Vector_Space_Model_-_15_slides_09-53,concept_vocab_index,vi873
236,Course1_W5-S2-L5_The_EM_Algorithm_for_IBM_Model_2_Part_1_5-09,concept_vocab_index,vi47
237,Course3_W11-S1-L4_-_Representing_and_Understanding_Meaning_-_14_slides_09-22,concept_vocab_index,vi122
238,Course1_W3-S1-L6_A_Simple_Grammar_for_English_Part_1_10-32,concept_vocab_index,vi946
239,Course3_W2-S1-L5_-_Spelling_Similarity-_Edit_Distance_-_32_slides_21-23,concept_vocab_index,vi1209
240,Course2_W2-S1-L1_Introduction_to_N-grams_8-41,l_text_topics,topic_11
241,Course2_W3-S1-L5_Naive_Bayes-_Relationship_to_Language_Modeling_4-35,concept_vocab_index,vi53
242,Course3_W5-S1-L1_-_Parsing_Introduction_and_recap-Parsing_noun_sequences_-_20_slides_15-19,concept_vocab_index,vi943
243,Course1_W3-S2-L3_Basics_of_PCFGs_Part_2_8-26,concept_vocab_index,vi1206
244,Course2_W3-S1-L8_Text_Classification-_Evaluation_7-17,prerequisite,Course2_W3-S1-L7_Precision_Recall_and_the_F_measure_16-16
245,Course2_W6-S2-L4_The_Return_of_Unlexicalized_PCFGs_20-53,concept_vocab_index,vi1299
246,Course3_W8-S1-L4_-_Question_Answering_Systems_1-2_-_14_slides_14-23,concept_vocab_index,vi1206
247,Course2_W8-S2-L4_Using_Knowledge_in_QA_4-25,l_text_topics,topic_5
248,Course3_W3-S1-L7_-_NLP_Tasks_3-3_-_21_slides_16-21,concept_vocab_index,vi391
249,Course1_W10-S2-L2_The_Dependency_Parsing_Problem_Part_1_5-21,concept_vocab_index,vi993
250,Course1_W9-S1-L5_The_Brown_Clustering_Algorithm_Part_3_9-18,concept_vocab_index,vi246
251,Course1_W3-S1-L4_Context-Free_Grammars_Part_1_12-11,concept_vocab_index,vi219
252,Course2_W7-S1-L3_The_Inverted_Index_10-42,concept_vocab_index,vi1414
253,Course3_W8-S1-L1_-_Question_Answering_-_21_slides_21-39,concept_vocab_index,vi980
254,Course3_W12-S1-L7_-_Machine_Translation_Advanced_Methods_-_13_slides_09-36,concept_vocab_index,vi1403
255,Course1_W9-S2-L6_Parameter_Estimation_with_the_Perceptron_Algorithm_6-11,concept_vocab_index,vi371
256,Course1_W8-S2-L5_Features_and_Beam_Search_12-10,concept_vocab_index,vi171
257,Course1_W2-S1-L7_The_Viterbi_Algorithm_for_HMMs_Part_3_7-33,l_text_topics,topic_11
258,Course2_W2-S1-L8_Kneser-Ney_Smoothing_8-59,concept_vocab_index,vi47
259,Course3_W5-S1-L4_-_Prepositional_phrase_attachment_3-3_-_18_slides_12-53,concept_vocab_index,vi993
260,Course2_W1-S2-L2_Regular_Expressions_in_Practical_NLP_6-04,level,level_3
261,Course3_W8-S1-L4_-_Question_Answering_Systems_1-2_-_14_slides_14-23,concept_vocab_index,vi178
262,Course1_W2-S1-L8_Summary_1-50,l_text_topics,topic_7
263,Course3_W12-S1-L3_-_Dialogue_Systems_-_18_slides_09-22,level,level_2
264,Course2_W4-S2-L4_Maximum_Entropy_Sequence_Models_13-01,concept_vocab_index,vi770
265,Course3_W1-S1-L4_-_Administrative_-__9_slides_08-07,level,level_2
266,Course2_W1-S2-L3_Word_Tokenization_14-26,concept_vocab_index,vi880
267,Course1_W2-S1-L5_The_Viterbi_Algorithm_for_HMMs_Part_1_14-07,prerequisite,Course1_W2-S1-L4_Parameter_Estimation_in_HMMs_13-16
268,Course3_W3-S1-L1_-_Semantic_Similarity-_Synonymy_and_other_Semantic_Relations_-_23__slides_14-38,concept_vocab_index,vi257
269,Course2_W3-S1-L5_Naive_Bayes-_Relationship_to_Language_Modeling_4-35,prerequisite,Course2_W3-S1-L4_Naive_Bayes-_Learning_5-22
270,Course2_W6-S2-L5_Latent_Variable_PCFGs_12-07,concept_vocab_index,vi1442
271,Course3_W5-S1-L7_-_Dependency_Parsing_-_28_slides_18-04,level,level_2
272,Course3_W11-S1-L2_-_Sentiment_Lexicons_-_12_slides_07-53,concept_vocab_index,vi368
