,head,variable,value
2,Course1_W10-S2-L5_GLMs_for_Dependency_Parsing_Part_2_8-28,concept_vocab_index,vi1001
2,Course1_W10-S2-L5_GLMs_for_Dependency_Parsing_Part_2_8-28,concept_vocab_index,vi386
2,Course1_W10-S2-L5_GLMs_for_Dependency_Parsing_Part_2_8-28,concept_vocab_index,vi173
2,Course1_W10-S2-L5_GLMs_for_Dependency_Parsing_Part_2_8-28,concept_vocab_index,vi180
2,Course1_W10-S2-L5_GLMs_for_Dependency_Parsing_Part_2_8-28,concept_vocab_index,vi1067
3,Course3_W12-S1-L5_-_Machine_Translation_Basic_Techniques_-_13_slides_11-48,concept_vocab_index,vi43
3,Course3_W12-S1-L5_-_Machine_Translation_Basic_Techniques_-_13_slides_11-48,concept_vocab_index,vi1231
3,Course3_W12-S1-L5_-_Machine_Translation_Basic_Techniques_-_13_slides_11-48,concept_vocab_index,vi17
4,Course2_W1-S2-L2_Regular_Expressions_in_Practical_NLP_6-04,concept_vocab_index,vi877
4,Course2_W1-S2-L2_Regular_Expressions_in_Practical_NLP_6-04,concept_vocab_index,vi233
4,Course2_W1-S2-L2_Regular_Expressions_in_Practical_NLP_6-04,concept_vocab_index,vi957
4,Course2_W1-S2-L2_Regular_Expressions_in_Practical_NLP_6-04,concept_vocab_index,vi1309
4,Course2_W1-S2-L2_Regular_Expressions_in_Practical_NLP_6-04,concept_vocab_index,vi1231
4,Course2_W1-S2-L2_Regular_Expressions_in_Practical_NLP_6-04,concept_vocab_index,vi1238
4,Course2_W1-S2-L2_Regular_Expressions_in_Practical_NLP_6-04,concept_vocab_index,vi838
4,Course2_W1-S2-L2_Regular_Expressions_in_Practical_NLP_6-04,concept_vocab_index,vi17
4,Course2_W1-S2-L2_Regular_Expressions_in_Practical_NLP_6-04,concept_vocab_index,vi1299
4,Course2_W1-S2-L2_Regular_Expressions_in_Practical_NLP_6-04,concept_vocab_index,vi1001
4,Course2_W1-S2-L2_Regular_Expressions_in_Practical_NLP_6-04,concept_vocab_index,vi136
4,Course2_W1-S2-L2_Regular_Expressions_in_Practical_NLP_6-04,concept_vocab_index,vi180
5,Course3_W3-S1-L6_-_NLP_Tasks_2-3_-_20_slides_15-33,concept_vocab_index,vi877
5,Course3_W3-S1-L6_-_NLP_Tasks_2-3_-_20_slides_15-33,concept_vocab_index,vi55
5,Course3_W3-S1-L6_-_NLP_Tasks_2-3_-_20_slides_15-33,concept_vocab_index,vi1074
5,Course3_W3-S1-L6_-_NLP_Tasks_2-3_-_20_slides_15-33,concept_vocab_index,vi74
5,Course3_W3-S1-L6_-_NLP_Tasks_2-3_-_20_slides_15-33,concept_vocab_index,vi758
5,Course3_W3-S1-L6_-_NLP_Tasks_2-3_-_20_slides_15-33,concept_vocab_index,vi1081
5,Course3_W3-S1-L6_-_NLP_Tasks_2-3_-_20_slides_15-33,concept_vocab_index,vi1231
5,Course3_W3-S1-L6_-_NLP_Tasks_2-3_-_20_slides_15-33,concept_vocab_index,vi178
5,Course3_W3-S1-L6_-_NLP_Tasks_2-3_-_20_slides_15-33,concept_vocab_index,vi1333
5,Course3_W3-S1-L6_-_NLP_Tasks_2-3_-_20_slides_15-33,concept_vocab_index,vi1238
5,Course3_W3-S1-L6_-_NLP_Tasks_2-3_-_20_slides_15-33,concept_vocab_index,vi388
5,Course3_W3-S1-L6_-_NLP_Tasks_2-3_-_20_slides_15-33,concept_vocab_index,vi1084
5,Course3_W3-S1-L6_-_NLP_Tasks_2-3_-_20_slides_15-33,concept_vocab_index,vi43
5,Course3_W3-S1-L6_-_NLP_Tasks_2-3_-_20_slides_15-33,concept_vocab_index,vi17
5,Course3_W3-S1-L6_-_NLP_Tasks_2-3_-_20_slides_15-33,concept_vocab_index,vi1299
5,Course3_W3-S1-L6_-_NLP_Tasks_2-3_-_20_slides_15-33,concept_vocab_index,vi1001
5,Course3_W3-S1-L6_-_NLP_Tasks_2-3_-_20_slides_15-33,concept_vocab_index,vi60
5,Course3_W3-S1-L6_-_NLP_Tasks_2-3_-_20_slides_15-33,concept_vocab_index,vi136
5,Course3_W3-S1-L6_-_NLP_Tasks_2-3_-_20_slides_15-33,concept_vocab_index,vi180
5,Course3_W3-S1-L6_-_NLP_Tasks_2-3_-_20_slides_15-33,concept_vocab_index,vi253
5,Course3_W3-S1-L6_-_NLP_Tasks_2-3_-_20_slides_15-33,concept_vocab_index,vi557
5,Course3_W3-S1-L6_-_NLP_Tasks_2-3_-_20_slides_15-33,concept_vocab_index,vi99
5,Course3_W3-S1-L6_-_NLP_Tasks_2-3_-_20_slides_15-33,concept_vocab_index,vi993
5,Course3_W3-S1-L6_-_NLP_Tasks_2-3_-_20_slides_15-33,concept_vocab_index,vi1067
6,Course1_W7-S1-L2_Two_Example_Problems_11-19,concept_vocab_index,vi55
6,Course1_W7-S1-L2_Two_Example_Problems_11-19,concept_vocab_index,vi1309
6,Course1_W7-S1-L2_Two_Example_Problems_11-19,concept_vocab_index,vi1081
6,Course1_W7-S1-L2_Two_Example_Problems_11-19,concept_vocab_index,vi1231
6,Course1_W7-S1-L2_Two_Example_Problems_11-19,concept_vocab_index,vi1333
6,Course1_W7-S1-L2_Two_Example_Problems_11-19,concept_vocab_index,vi1084
6,Course1_W7-S1-L2_Two_Example_Problems_11-19,concept_vocab_index,vi43
6,Course1_W7-S1-L2_Two_Example_Problems_11-19,concept_vocab_index,vi17
6,Course1_W7-S1-L2_Two_Example_Problems_11-19,concept_vocab_index,vi1299
6,Course1_W7-S1-L2_Two_Example_Problems_11-19,concept_vocab_index,vi173
6,Course1_W7-S1-L2_Two_Example_Problems_11-19,concept_vocab_index,vi888
7,Course1_W1-S2-L6_Evaluating_Language_Models-_Perplexity_12-36,concept_vocab_index,vi957
7,Course1_W1-S2-L6_Evaluating_Language_Models-_Perplexity_12-36,concept_vocab_index,vi1309
7,Course1_W1-S2-L6_Evaluating_Language_Models-_Perplexity_12-36,concept_vocab_index,vi1481
7,Course1_W1-S2-L6_Evaluating_Language_Models-_Perplexity_12-36,concept_vocab_index,vi117
7,Course1_W1-S2-L6_Evaluating_Language_Models-_Perplexity_12-36,concept_vocab_index,vi1231
7,Course1_W1-S2-L6_Evaluating_Language_Models-_Perplexity_12-36,concept_vocab_index,vi1333
7,Course1_W1-S2-L6_Evaluating_Language_Models-_Perplexity_12-36,concept_vocab_index,vi388
7,Course1_W1-S2-L6_Evaluating_Language_Models-_Perplexity_12-36,concept_vocab_index,vi838
7,Course1_W1-S2-L6_Evaluating_Language_Models-_Perplexity_12-36,concept_vocab_index,vi43
7,Course1_W1-S2-L6_Evaluating_Language_Models-_Perplexity_12-36,concept_vocab_index,vi17
7,Course1_W1-S2-L6_Evaluating_Language_Models-_Perplexity_12-36,concept_vocab_index,vi1299
7,Course1_W1-S2-L6_Evaluating_Language_Models-_Perplexity_12-36,concept_vocab_index,vi173
7,Course1_W1-S2-L6_Evaluating_Language_Models-_Perplexity_12-36,concept_vocab_index,vi136
7,Course1_W1-S2-L6_Evaluating_Language_Models-_Perplexity_12-36,concept_vocab_index,vi557
8,Course2_W2-S1-L1_Introduction_to_N-grams_8-41,concept_vocab_index,vi877
8,Course2_W2-S1-L1_Introduction_to_N-grams_8-41,concept_vocab_index,vi957
8,Course2_W2-S1-L1_Introduction_to_N-grams_8-41,concept_vocab_index,vi1309
8,Course2_W2-S1-L1_Introduction_to_N-grams_8-41,concept_vocab_index,vi1231
8,Course2_W2-S1-L1_Introduction_to_N-grams_8-41,concept_vocab_index,vi1333
8,Course2_W2-S1-L1_Introduction_to_N-grams_8-41,concept_vocab_index,vi632
8,Course2_W2-S1-L1_Introduction_to_N-grams_8-41,concept_vocab_index,vi1238
8,Course2_W2-S1-L1_Introduction_to_N-grams_8-41,concept_vocab_index,vi43
8,Course2_W2-S1-L1_Introduction_to_N-grams_8-41,concept_vocab_index,vi17
8,Course2_W2-S1-L1_Introduction_to_N-grams_8-41,concept_vocab_index,vi1299
8,Course2_W2-S1-L1_Introduction_to_N-grams_8-41,concept_vocab_index,vi1001
8,Course2_W2-S1-L1_Introduction_to_N-grams_8-41,concept_vocab_index,vi173
8,Course2_W2-S1-L1_Introduction_to_N-grams_8-41,concept_vocab_index,vi136
8,Course2_W2-S1-L1_Introduction_to_N-grams_8-41,concept_vocab_index,vi180
8,Course2_W2-S1-L1_Introduction_to_N-grams_8-41,concept_vocab_index,vi888
9,Course2_W8-S2-L3_Passage_Retrieval_and_Answer_Extraction_6-38,concept_vocab_index,vi877
9,Course2_W8-S2-L3_Passage_Retrieval_and_Answer_Extraction_6-38,concept_vocab_index,vi1231
9,Course2_W8-S2-L3_Passage_Retrieval_and_Answer_Extraction_6-38,concept_vocab_index,vi1238
9,Course2_W8-S2-L3_Passage_Retrieval_and_Answer_Extraction_6-38,concept_vocab_index,vi388
9,Course2_W8-S2-L3_Passage_Retrieval_and_Answer_Extraction_6-38,concept_vocab_index,vi17
9,Course2_W8-S2-L3_Passage_Retrieval_and_Answer_Extraction_6-38,concept_vocab_index,vi1261
9,Course2_W8-S2-L3_Passage_Retrieval_and_Answer_Extraction_6-38,concept_vocab_index,vi124
9,Course2_W8-S2-L3_Passage_Retrieval_and_Answer_Extraction_6-38,concept_vocab_index,vi1019
9,Course2_W8-S2-L3_Passage_Retrieval_and_Answer_Extraction_6-38,concept_vocab_index,vi1001
9,Course2_W8-S2-L3_Passage_Retrieval_and_Answer_Extraction_6-38,concept_vocab_index,vi187
9,Course2_W8-S2-L3_Passage_Retrieval_and_Answer_Extraction_6-38,concept_vocab_index,vi33
9,Course2_W8-S2-L3_Passage_Retrieval_and_Answer_Extraction_6-38,concept_vocab_index,vi180
9,Course2_W8-S2-L3_Passage_Retrieval_and_Answer_Extraction_6-38,concept_vocab_index,vi557
10,Course2_W6-S1-L1_CFGs_and_PCFGs_15-29,concept_vocab_index,vi877
10,Course2_W6-S1-L1_CFGs_and_PCFGs_15-29,concept_vocab_index,vi1449
10,Course2_W6-S1-L1_CFGs_and_PCFGs_15-29,concept_vocab_index,vi659
10,Course2_W6-S1-L1_CFGs_and_PCFGs_15-29,concept_vocab_index,vi266
10,Course2_W6-S1-L1_CFGs_and_PCFGs_15-29,concept_vocab_index,vi1081
10,Course2_W6-S1-L1_CFGs_and_PCFGs_15-29,concept_vocab_index,vi1231
10,Course2_W6-S1-L1_CFGs_and_PCFGs_15-29,concept_vocab_index,vi1027
10,Course2_W6-S1-L1_CFGs_and_PCFGs_15-29,concept_vocab_index,vi1333
10,Course2_W6-S1-L1_CFGs_and_PCFGs_15-29,concept_vocab_index,vi632
10,Course2_W6-S1-L1_CFGs_and_PCFGs_15-29,concept_vocab_index,vi1238
10,Course2_W6-S1-L1_CFGs_and_PCFGs_15-29,concept_vocab_index,vi1084
10,Course2_W6-S1-L1_CFGs_and_PCFGs_15-29,concept_vocab_index,vi43
10,Course2_W6-S1-L1_CFGs_and_PCFGs_15-29,concept_vocab_index,vi17
10,Course2_W6-S1-L1_CFGs_and_PCFGs_15-29,concept_vocab_index,vi1299
10,Course2_W6-S1-L1_CFGs_and_PCFGs_15-29,concept_vocab_index,vi1001
10,Course2_W6-S1-L1_CFGs_and_PCFGs_15-29,concept_vocab_index,vi136
10,Course2_W6-S1-L1_CFGs_and_PCFGs_15-29,concept_vocab_index,vi180
11,Course1_W3-S2-L2_Basics_of_PCFGs_Part_1_9-43,concept_vocab_index,vi877
11,Course1_W3-S2-L2_Basics_of_PCFGs_Part_1_9-43,concept_vocab_index,vi55
11,Course1_W3-S2-L2_Basics_of_PCFGs_Part_1_9-43,concept_vocab_index,vi1309
11,Course1_W3-S2-L2_Basics_of_PCFGs_Part_1_9-43,concept_vocab_index,vi47
11,Course1_W3-S2-L2_Basics_of_PCFGs_Part_1_9-43,concept_vocab_index,vi1081
11,Course1_W3-S2-L2_Basics_of_PCFGs_Part_1_9-43,concept_vocab_index,vi1231
11,Course1_W3-S2-L2_Basics_of_PCFGs_Part_1_9-43,concept_vocab_index,vi1027
11,Course1_W3-S2-L2_Basics_of_PCFGs_Part_1_9-43,concept_vocab_index,vi1333
11,Course1_W3-S2-L2_Basics_of_PCFGs_Part_1_9-43,concept_vocab_index,vi632
11,Course1_W3-S2-L2_Basics_of_PCFGs_Part_1_9-43,concept_vocab_index,vi1238
11,Course1_W3-S2-L2_Basics_of_PCFGs_Part_1_9-43,concept_vocab_index,vi17
11,Course1_W3-S2-L2_Basics_of_PCFGs_Part_1_9-43,concept_vocab_index,vi99
11,Course1_W3-S2-L2_Basics_of_PCFGs_Part_1_9-43,concept_vocab_index,vi1299
11,Course1_W3-S2-L2_Basics_of_PCFGs_Part_1_9-43,concept_vocab_index,vi1001
11,Course1_W3-S2-L2_Basics_of_PCFGs_Part_1_9-43,concept_vocab_index,vi49
11,Course1_W3-S2-L2_Basics_of_PCFGs_Part_1_9-43,concept_vocab_index,vi180
12,Course2_W5-S2-L2_Some_Methods_and_Results_on_Sequence_Models_for_POS_Tagging_13-04,concept_vocab_index,vi388
12,Course2_W5-S2-L2_Some_Methods_and_Results_on_Sequence_Models_for_POS_Tagging_13-04,concept_vocab_index,vi1231
12,Course2_W5-S2-L2_Some_Methods_and_Results_on_Sequence_Models_for_POS_Tagging_13-04,concept_vocab_index,vi43
12,Course2_W5-S2-L2_Some_Methods_and_Results_on_Sequence_Models_for_POS_Tagging_13-04,concept_vocab_index,vi1333
12,Course2_W5-S2-L2_Some_Methods_and_Results_on_Sequence_Models_for_POS_Tagging_13-04,concept_vocab_index,vi17
12,Course2_W5-S2-L2_Some_Methods_and_Results_on_Sequence_Models_for_POS_Tagging_13-04,concept_vocab_index,vi136
12,Course2_W5-S2-L2_Some_Methods_and_Results_on_Sequence_Models_for_POS_Tagging_13-04,concept_vocab_index,vi557
12,Course2_W5-S2-L2_Some_Methods_and_Results_on_Sequence_Models_for_POS_Tagging_13-04,concept_vocab_index,vi1299
13,Course2_W8-S1-L4_Word_Similarity-_Distributional_Similarity_I_13-14,concept_vocab_index,vi55
13,Course2_W8-S1-L4_Word_Similarity-_Distributional_Similarity_I_13-14,concept_vocab_index,vi957
13,Course2_W8-S1-L4_Word_Similarity-_Distributional_Similarity_I_13-14,concept_vocab_index,vi47
13,Course2_W8-S1-L4_Word_Similarity-_Distributional_Similarity_I_13-14,concept_vocab_index,vi1231
13,Course2_W8-S1-L4_Word_Similarity-_Distributional_Similarity_I_13-14,concept_vocab_index,vi1333
13,Course2_W8-S1-L4_Word_Similarity-_Distributional_Similarity_I_13-14,concept_vocab_index,vi43
13,Course2_W8-S1-L4_Word_Similarity-_Distributional_Similarity_I_13-14,concept_vocab_index,vi17
13,Course2_W8-S1-L4_Word_Similarity-_Distributional_Similarity_I_13-14,concept_vocab_index,vi1299
13,Course2_W8-S1-L4_Word_Similarity-_Distributional_Similarity_I_13-14,concept_vocab_index,vi136
14,Course1_W3-S2-L6_The_CKY_Parsing_Algorithm_Part_3_10-07,concept_vocab_index,vi1300
14,Course1_W3-S2-L6_The_CKY_Parsing_Algorithm_Part_3_10-07,concept_vocab_index,vi461
14,Course1_W3-S2-L6_The_CKY_Parsing_Algorithm_Part_3_10-07,concept_vocab_index,vi47
14,Course1_W3-S2-L6_The_CKY_Parsing_Algorithm_Part_3_10-07,concept_vocab_index,vi758
14,Course1_W3-S2-L6_The_CKY_Parsing_Algorithm_Part_3_10-07,concept_vocab_index,vi1231
14,Course1_W3-S2-L6_The_CKY_Parsing_Algorithm_Part_3_10-07,concept_vocab_index,vi1027
14,Course1_W3-S2-L6_The_CKY_Parsing_Algorithm_Part_3_10-07,concept_vocab_index,vi1333
14,Course1_W3-S2-L6_The_CKY_Parsing_Algorithm_Part_3_10-07,concept_vocab_index,vi632
14,Course1_W3-S2-L6_The_CKY_Parsing_Algorithm_Part_3_10-07,concept_vocab_index,vi1017
14,Course1_W3-S2-L6_The_CKY_Parsing_Algorithm_Part_3_10-07,concept_vocab_index,vi388
14,Course1_W3-S2-L6_The_CKY_Parsing_Algorithm_Part_3_10-07,concept_vocab_index,vi43
14,Course1_W3-S2-L6_The_CKY_Parsing_Algorithm_Part_3_10-07,concept_vocab_index,vi17
14,Course1_W3-S2-L6_The_CKY_Parsing_Algorithm_Part_3_10-07,concept_vocab_index,vi99
14,Course1_W3-S2-L6_The_CKY_Parsing_Algorithm_Part_3_10-07,concept_vocab_index,vi1299
14,Course1_W3-S2-L6_The_CKY_Parsing_Algorithm_Part_3_10-07,concept_vocab_index,vi49
14,Course1_W3-S2-L6_The_CKY_Parsing_Algorithm_Part_3_10-07,concept_vocab_index,vi136
14,Course1_W3-S2-L6_The_CKY_Parsing_Algorithm_Part_3_10-07,concept_vocab_index,vi1176
14,Course1_W3-S2-L6_The_CKY_Parsing_Algorithm_Part_3_10-07,concept_vocab_index,vi557
14,Course1_W3-S2-L6_The_CKY_Parsing_Algorithm_Part_3_10-07,concept_vocab_index,vi1067
15,Course3_W3-S1-L3_-_The_Vector_Space_Model_-_15_slides_09-53,concept_vocab_index,vi877
15,Course3_W3-S1-L3_-_The_Vector_Space_Model_-_15_slides_09-53,concept_vocab_index,vi55
15,Course3_W3-S1-L3_-_The_Vector_Space_Model_-_15_slides_09-53,concept_vocab_index,vi957
15,Course3_W3-S1-L3_-_The_Vector_Space_Model_-_15_slides_09-53,concept_vocab_index,vi1326
15,Course3_W3-S1-L3_-_The_Vector_Space_Model_-_15_slides_09-53,concept_vocab_index,vi1309
15,Course3_W3-S1-L3_-_The_Vector_Space_Model_-_15_slides_09-53,concept_vocab_index,vi1231
15,Course3_W3-S1-L3_-_The_Vector_Space_Model_-_15_slides_09-53,concept_vocab_index,vi1238
15,Course3_W3-S1-L3_-_The_Vector_Space_Model_-_15_slides_09-53,concept_vocab_index,vi43
15,Course3_W3-S1-L3_-_The_Vector_Space_Model_-_15_slides_09-53,concept_vocab_index,vi17
15,Course3_W3-S1-L3_-_The_Vector_Space_Model_-_15_slides_09-53,concept_vocab_index,vi1299
15,Course3_W3-S1-L3_-_The_Vector_Space_Model_-_15_slides_09-53,concept_vocab_index,vi1001
15,Course3_W3-S1-L3_-_The_Vector_Space_Model_-_15_slides_09-53,concept_vocab_index,vi180
15,Course3_W3-S1-L3_-_The_Vector_Space_Model_-_15_slides_09-53,concept_vocab_index,vi99
16,Course1_W9-S2-L3_Motivation_for_GLMs_6-34,concept_vocab_index,vi877
16,Course1_W9-S2-L3_Motivation_for_GLMs_6-34,concept_vocab_index,vi912
16,Course1_W9-S2-L3_Motivation_for_GLMs_6-34,concept_vocab_index,vi1449
16,Course1_W9-S2-L3_Motivation_for_GLMs_6-34,concept_vocab_index,vi957
16,Course1_W9-S2-L3_Motivation_for_GLMs_6-34,concept_vocab_index,vi1309
16,Course1_W9-S2-L3_Motivation_for_GLMs_6-34,concept_vocab_index,vi1026
16,Course1_W9-S2-L3_Motivation_for_GLMs_6-34,concept_vocab_index,vi47
16,Course1_W9-S2-L3_Motivation_for_GLMs_6-34,concept_vocab_index,vi117
16,Course1_W9-S2-L3_Motivation_for_GLMs_6-34,concept_vocab_index,vi758
16,Course1_W9-S2-L3_Motivation_for_GLMs_6-34,concept_vocab_index,vi1081
16,Course1_W9-S2-L3_Motivation_for_GLMs_6-34,concept_vocab_index,vi305
16,Course1_W9-S2-L3_Motivation_for_GLMs_6-34,concept_vocab_index,vi1231
16,Course1_W9-S2-L3_Motivation_for_GLMs_6-34,concept_vocab_index,vi632
16,Course1_W9-S2-L3_Motivation_for_GLMs_6-34,concept_vocab_index,vi1238
16,Course1_W9-S2-L3_Motivation_for_GLMs_6-34,concept_vocab_index,vi388
16,Course1_W9-S2-L3_Motivation_for_GLMs_6-34,concept_vocab_index,vi1084
16,Course1_W9-S2-L3_Motivation_for_GLMs_6-34,concept_vocab_index,vi43
16,Course1_W9-S2-L3_Motivation_for_GLMs_6-34,concept_vocab_index,vi17
16,Course1_W9-S2-L3_Motivation_for_GLMs_6-34,concept_vocab_index,vi573
16,Course1_W9-S2-L3_Motivation_for_GLMs_6-34,concept_vocab_index,vi1299
16,Course1_W9-S2-L3_Motivation_for_GLMs_6-34,concept_vocab_index,vi1001
16,Course1_W9-S2-L3_Motivation_for_GLMs_6-34,concept_vocab_index,vi366
16,Course1_W9-S2-L3_Motivation_for_GLMs_6-34,concept_vocab_index,vi180
16,Course1_W9-S2-L3_Motivation_for_GLMs_6-34,concept_vocab_index,vi557
17,Course1_W2-S1-L4_Parameter_Estimation_in_HMMs_13-16,concept_vocab_index,vi1074
17,Course1_W2-S1-L4_Parameter_Estimation_in_HMMs_13-16,concept_vocab_index,vi1309
17,Course1_W2-S1-L4_Parameter_Estimation_in_HMMs_13-16,concept_vocab_index,vi1231
17,Course1_W2-S1-L4_Parameter_Estimation_in_HMMs_13-16,concept_vocab_index,vi1333
17,Course1_W2-S1-L4_Parameter_Estimation_in_HMMs_13-16,concept_vocab_index,vi43
17,Course1_W2-S1-L4_Parameter_Estimation_in_HMMs_13-16,concept_vocab_index,vi17
17,Course1_W2-S1-L4_Parameter_Estimation_in_HMMs_13-16,concept_vocab_index,vi1299
17,Course1_W2-S1-L4_Parameter_Estimation_in_HMMs_13-16,concept_vocab_index,vi136
17,Course1_W2-S1-L4_Parameter_Estimation_in_HMMs_13-16,concept_vocab_index,vi888
18,Course1_W1-S3-L4_Discounting_Methods_Part_2_3-34,concept_vocab_index,vi1309
18,Course1_W1-S3-L4_Discounting_Methods_Part_2_3-34,concept_vocab_index,vi1231
18,Course1_W1-S3-L4_Discounting_Methods_Part_2_3-34,concept_vocab_index,vi388
18,Course1_W1-S3-L4_Discounting_Methods_Part_2_3-34,concept_vocab_index,vi17
18,Course1_W1-S3-L4_Discounting_Methods_Part_2_3-34,concept_vocab_index,vi1299
18,Course1_W1-S3-L4_Discounting_Methods_Part_2_3-34,concept_vocab_index,vi173
18,Course1_W1-S3-L4_Discounting_Methods_Part_2_3-34,concept_vocab_index,vi557
19,Course1_W1-S3-L3_Discounting_Methods_Part_1_9-26,concept_vocab_index,vi877
19,Course1_W1-S3-L3_Discounting_Methods_Part_1_9-26,concept_vocab_index,vi1309
19,Course1_W1-S3-L3_Discounting_Methods_Part_1_9-26,concept_vocab_index,vi1231
19,Course1_W1-S3-L3_Discounting_Methods_Part_1_9-26,concept_vocab_index,vi1238
19,Course1_W1-S3-L3_Discounting_Methods_Part_1_9-26,concept_vocab_index,vi17
19,Course1_W1-S3-L3_Discounting_Methods_Part_1_9-26,concept_vocab_index,vi1299
19,Course1_W1-S3-L3_Discounting_Methods_Part_1_9-26,concept_vocab_index,vi1001
19,Course1_W1-S3-L3_Discounting_Methods_Part_1_9-26,concept_vocab_index,vi1018
19,Course1_W1-S3-L3_Discounting_Methods_Part_1_9-26,concept_vocab_index,vi136
19,Course1_W1-S3-L3_Discounting_Methods_Part_1_9-26,concept_vocab_index,vi180
20,Course1_W1-S3-L2_Linear_Interpolation_Part_2_11-35,concept_vocab_index,vi877
20,Course1_W1-S3-L2_Linear_Interpolation_Part_2_11-35,concept_vocab_index,vi55
20,Course1_W1-S3-L2_Linear_Interpolation_Part_2_11-35,concept_vocab_index,vi1309
20,Course1_W1-S3-L2_Linear_Interpolation_Part_2_11-35,concept_vocab_index,vi1231
20,Course1_W1-S3-L2_Linear_Interpolation_Part_2_11-35,concept_vocab_index,vi1238
20,Course1_W1-S3-L2_Linear_Interpolation_Part_2_11-35,concept_vocab_index,vi388
20,Course1_W1-S3-L2_Linear_Interpolation_Part_2_11-35,concept_vocab_index,vi43
20,Course1_W1-S3-L2_Linear_Interpolation_Part_2_11-35,concept_vocab_index,vi17
20,Course1_W1-S3-L2_Linear_Interpolation_Part_2_11-35,concept_vocab_index,vi1299
20,Course1_W1-S3-L2_Linear_Interpolation_Part_2_11-35,concept_vocab_index,vi1001
20,Course1_W1-S3-L2_Linear_Interpolation_Part_2_11-35,concept_vocab_index,vi136
20,Course1_W1-S3-L2_Linear_Interpolation_Part_2_11-35,concept_vocab_index,vi180
20,Course1_W1-S3-L2_Linear_Interpolation_Part_2_11-35,concept_vocab_index,vi557
