,head,variable,value,prob
23,Course1_W10-S2-L5_GLMs_for_Dependency_Parsing_Part_2_8-28,l_text_topics,topic_12,33.88
23,Course1_W10-S2-L5_GLMs_for_Dependency_Parsing_Part_2_8-28,l_text_topics,topic_14,21.34
24,Course1_W10-S2-L6_Experiments_with_GLMs_for_Dep,l_text_topics,topic_6,13.69
24,Course1_W10-S2-L6_Experiments_with_GLMs_for_Dep,l_text_topics,topic_12,19.55
24,Course1_W10-S2-L6_Experiments_with_GLMs_for_Dep,l_text_topics,topic_14,66.52
25,Course1_W10-S2-L7_Summary_2-50,l_text_topics,topic_6,63.44
25,Course1_W10-S2-L7_Summary_2-50,l_text_topics,topic_11,3.39
25,Course1_W10-S2-L7_Summary_2-50,l_text_topics,topic_12,27.53
25,Course1_W10-S2-L7_Summary_2-50,l_text_topics,topic_14,5.25
26,Course1_W2-S1-L1_The_Tagging_Problem_10-01,l_text_topics,topic_8,17.59
26,Course1_W2-S1-L1_The_Tagging_Problem_10-01,l_text_topics,topic_11,10.63
26,Course1_W2-S1-L1_The_Tagging_Problem_10-01,l_text_topics,topic_12,64.76
26,Course1_W2-S1-L1_The_Tagging_Problem_10-01,l_text_topics,topic_14,6.92
27,Course1_W2-S1-L2_Generative_Models_for_Supervised_Learning_8-57,l_text_topics,topic_4,2.71
27,Course1_W2-S1-L2_Generative_Models_for_Supervised_Learning_8-57,l_text_topics,topic_11,12.4
27,Course1_W2-S1-L2_Generative_Models_for_Supervised_Learning_8-57,l_text_topics,topic_12,84.72
28,Course1_W2-S1-L3_Hidden_Markov_Models_HMMs-_Basic_Definitions_12-00,l_text_topics,topic_6,9.47
28,Course1_W2-S1-L3_Hidden_Markov_Models_HMMs-_Basic_Definitions_12-00,l_text_topics,topic_12,90.37
29,Course1_W2-S1-L4_Parameter_Estimation_in_HMMs_13-16,l_text_topics,topic_6,4.08
29,Course1_W2-S1-L4_Parameter_Estimation_in_HMMs_13-16,l_text_topics,topic_7,45.93
29,Course1_W2-S1-L4_Parameter_Estimation_in_HMMs_13-16,l_text_topics,topic_8,17.8
29,Course1_W2-S1-L4_Parameter_Estimation_in_HMMs_13-16,l_text_topics,topic_12,32.1
30,Course1_W2-S1-L5_The_Viterbi_Algorithm_for_HMMs_Part_1_14-07,l_text_topics,topic_6,30.59
30,Course1_W2-S1-L5_The_Viterbi_Algorithm_for_HMMs_Part_1_14-07,l_text_topics,topic_12,69.27
31,Course1_W2-S1-L6_The_Viterbi_Algorithm_for_HMMs_Part_2_3-31,l_text_topics,topic_6,42.74
31,Course1_W2-S1-L6_The_Viterbi_Algorithm_for_HMMs_Part_2_3-31,l_text_topics,topic_12,56.65
32,Course1_W2-S1-L7_The_Viterbi_Algorithm_for_HMMs_Part_3_7-33,l_text_topics,topic_6,37.27
32,Course1_W2-S1-L7_The_Viterbi_Algorithm_for_HMMs_Part_3_7-33,l_text_topics,topic_11,15.03
32,Course1_W2-S1-L7_The_Viterbi_Algorithm_for_HMMs_Part_3_7-33,l_text_topics,topic_12,47.5
33,Course1_W2-S1-L8_Summary_1-50,l_text_topics,topic_4,8.08
33,Course1_W2-S1-L8_Summary_1-50,l_text_topics,topic_5,7.46
33,Course1_W2-S1-L8_Summary_1-50,l_text_topics,topic_7,14.61
33,Course1_W2-S1-L8_Summary_1-50,l_text_topics,topic_11,13.94
33,Course1_W2-S1-L8_Summary_1-50,l_text_topics,topic_12,55.4
34,Course1_W3-S1-L10_Examples_of_Ambiguity_5-56,l_text_topics,topic_1,54.18
34,Course1_W3-S1-L10_Examples_of_Ambiguity_5-56,l_text_topics,topic_10,45.58
35,Course1_W3-S1-L1_Introduction_0-28,l_text_topics,topic_1,27.13
35,Course1_W3-S1-L1_Introduction_0-28,l_text_topics,topic_10,35.75
35,Course1_W3-S1-L1_Introduction_0-28,l_text_topics,topic_12,34.96
36,Course1_W3-S1-L2_Introduction_to_the_Parsing_Problem_Part_1_10-37,l_text_topics,topic_1,91.11
36,Course1_W3-S1-L2_Introduction_to_the_Parsing_Problem_Part_1_10-37,l_text_topics,topic_12,8.75
37,Course1_W3-S1-L3_Introduction_to_the_Parsing_Problem_Part_2_4-20,l_text_topics,topic_1,25.28
37,Course1_W3-S1-L3_Introduction_to_the_Parsing_Problem_Part_2_4-20,l_text_topics,topic_8,59.15
37,Course1_W3-S1-L3_Introduction_to_the_Parsing_Problem_Part_2_4-20,l_text_topics,topic_12,15.31
38,Course1_W3-S1-L4_Context-Free_Grammars_Part_1_12-11,l_text_topics,topic_1,85.53
38,Course1_W3-S1-L4_Context-Free_Grammars_Part_1_12-11,l_text_topics,topic_6,14.34
39,Course1_W3-S1-L5_Context-Free_Grammars_Part_2_2-22,l_text_topics,topic_1,38.89
39,Course1_W3-S1-L5_Context-Free_Grammars_Part_2_2-22,l_text_topics,topic_4,24.33
39,Course1_W3-S1-L5_Context-Free_Grammars_Part_2_2-22,l_text_topics,topic_10,34.11
40,Course1_W3-S1-L6_A_Simple_Grammar_for_English_Part_1_10-32,l_text_topics,topic_1,99.83
41,Course1_W3-S1-L7_A_Simple_Grammar_for_English_Part_2_5-30,l_text_topics,topic_1,80.26
41,Course1_W3-S1-L7_A_Simple_Grammar_for_English_Part_2_5-30,l_text_topics,topic_10,19.37
42,Course1_W3-S1-L8_A_Simple_Grammar_for_English_Part_3_11-21,l_text_topics,topic_1,99.84
43,Course1_W3-S1-L9_A_Simple_Grammar_for_English_Part_4_2-20,l_text_topics,topic_1,99.44
44,Course1_W3-S2-L1_Introduction_1-12,l_text_topics,topic_1,40.25
44,Course1_W3-S2-L1_Introduction_1-12,l_text_topics,topic_7,4.91
44,Course1_W3-S2-L1_Introduction_1-12,l_text_topics,topic_12,41.64
44,Course1_W3-S2-L1_Introduction_1-12,l_text_topics,topic_14,12.33
45,Course1_W3-S2-L2_Basics_of_PCFGs_Part_1_9-43,l_text_topics,topic_1,70.0
45,Course1_W3-S2-L2_Basics_of_PCFGs_Part_1_9-43,l_text_topics,topic_4,5.9
45,Course1_W3-S2-L2_Basics_of_PCFGs_Part_1_9-43,l_text_topics,topic_11,9.1
45,Course1_W3-S2-L2_Basics_of_PCFGs_Part_1_9-43,l_text_topics,topic_12,14.85
46,Course1_W3-S2-L3_Basics_of_PCFGs_Part_2_8-26,l_text_topics,topic_1,73.5
46,Course1_W3-S2-L3_Basics_of_PCFGs_Part_2_8-26,l_text_topics,topic_7,7.25
46,Course1_W3-S2-L3_Basics_of_PCFGs_Part_2_8-26,l_text_topics,topic_11,19.09
47,Course1_W3-S2-L4_The_CKY_Parsing_Algorithm_Part_1__7-31,l_text_topics,topic_1,99.78
48,Course1_W3-S2-L5_The_CKY_Parsing_Algorithm_Part_2__13-22,l_text_topics,topic_1,33.73
48,Course1_W3-S2-L5_The_CKY_Parsing_Algorithm_Part_2__13-22,l_text_topics,topic_6,33.81
48,Course1_W3-S2-L5_The_CKY_Parsing_Algorithm_Part_2__13-22,l_text_topics,topic_11,32.33
49,Course1_W3-S2-L6_The_CKY_Parsing_Algorithm_Part_3_10-07,l_text_topics,topic_1,32.97
49,Course1_W3-S2-L6_The_CKY_Parsing_Algorithm_Part_3_10-07,l_text_topics,topic_6,15.92
49,Course1_W3-S2-L6_The_CKY_Parsing_Algorithm_Part_3_10-07,l_text_topics,topic_11,50.97
50,Course1_W4-S1-L1_Weaknesses_of_PCFGs_14-59,l_text_topics,topic_1,25.27
50,Course1_W4-S1-L1_Weaknesses_of_PCFGs_14-59,l_text_topics,topic_2,3.71
50,Course1_W4-S1-L1_Weaknesses_of_PCFGs_14-59,l_text_topics,topic_12,2.97
50,Course1_W4-S1-L1_Weaknesses_of_PCFGs_14-59,l_text_topics,topic_14,67.97
51,Course1_W4-S2-L1_Introduction_00-17,l_text_topics,topic_14,95.56
52,Course1_W4-S2-L2_Lexicalization_of_a_Treebank_10-44,l_text_topics,topic_0,12.17
52,Course1_W4-S2-L2_Lexicalization_of_a_Treebank_10-44,l_text_topics,topic_1,52.53
52,Course1_W4-S2-L2_Lexicalization_of_a_Treebank_10-44,l_text_topics,topic_14,35.17
53,Course1_W4-S2-L3_Lexicalized_PCFGs-_Basic_Definitions_12-40,l_text_topics,topic_1,96.06
53,Course1_W4-S2-L3_Lexicalized_PCFGs-_Basic_Definitions_12-40,l_text_topics,topic_6,1.87
53,Course1_W4-S2-L3_Lexicalized_PCFGs-_Basic_Definitions_12-40,l_text_topics,topic_7,1.94
54,Course1_W4-S2-L4_Parameter_Estimation_in_Lexicalized_PCFGs_Part_1_5-28,l_text_topics,topic_1,42.06
54,Course1_W4-S2-L4_Parameter_Estimation_in_Lexicalized_PCFGs_Part_1_5-28,l_text_topics,topic_8,3.13
54,Course1_W4-S2-L4_Parameter_Estimation_in_Lexicalized_PCFGs_Part_1_5-28,l_text_topics,topic_11,13.11
54,Course1_W4-S2-L4_Parameter_Estimation_in_Lexicalized_PCFGs_Part_1_5-28,l_text_topics,topic_12,22.21
54,Course1_W4-S2-L4_Parameter_Estimation_in_Lexicalized_PCFGs_Part_1_5-28,l_text_topics,topic_14,19.26
55,Course1_W4-S2-L5_Parameter_Estimation_in_Lexicalized_PCFGs_Part_2_9-08,l_text_topics,topic_1,13.76
55,Course1_W4-S2-L5_Parameter_Estimation_in_Lexicalized_PCFGs_Part_2_9-08,l_text_topics,topic_7,21.05
55,Course1_W4-S2-L5_Parameter_Estimation_in_Lexicalized_PCFGs_Part_2_9-08,l_text_topics,topic_11,41.46
55,Course1_W4-S2-L5_Parameter_Estimation_in_Lexicalized_PCFGs_Part_2_9-08,l_text_topics,topic_14,23.59
56,Course1_W4-S2-L6_Evaluation_of_Lexicalized_PCFGs_Part_1_9-32,l_text_topics,topic_1,6.75
56,Course1_W4-S2-L6_Evaluation_of_Lexicalized_PCFGs_Part_1_9-32,l_text_topics,topic_2,14.18
56,Course1_W4-S2-L6_Evaluation_of_Lexicalized_PCFGs_Part_1_9-32,l_text_topics,topic_6,3.76
56,Course1_W4-S2-L6_Evaluation_of_Lexicalized_PCFGs_Part_1_9-32,l_text_topics,topic_11,10.99
56,Course1_W4-S2-L6_Evaluation_of_Lexicalized_PCFGs_Part_1_9-32,l_text_topics,topic_12,1.2
56,Course1_W4-S2-L6_Evaluation_of_Lexicalized_PCFGs_Part_1_9-32,l_text_topics,topic_14,63.01
57,Course1_W4-S2-L7_Evaluation_of_Lexicalized_PCFGs_Part_2_11-28,l_text_topics,topic_14,99.86
58,Course1_W5-S1-L1_Opening_Comments_0-25,l_text_topics,topic_8,27.08
58,Course1_W5-S1-L1_Opening_Comments_0-25,l_text_topics,topic_10,26.73
58,Course1_W5-S1-L1_Opening_Comments_0-25,l_text_topics,topic_12,43.43
59,Course1_W5-S1-L2_introduction_2-03,l_text_topics,topic_10,38.03
59,Course1_W5-S1-L2_introduction_2-03,l_text_topics,topic_12,59.67
59,Course1_W5-S1-L2_introduction_2-03,l_text_topics,topic_14,1.73
60,Course1_W5-S1-L3_Challenges_in_MT_8-06,l_text_topics,topic_1,21.14
60,Course1_W5-S1-L3_Challenges_in_MT_8-06,l_text_topics,topic_10,55.02
60,Course1_W5-S1-L3_Challenges_in_MT_8-06,l_text_topics,topic_12,23.68
61,Course1_W5-S1-L4_Classical_Approaches_to_MT_Part_1_8-02,l_text_topics,topic_1,15.64
61,Course1_W5-S1-L4_Classical_Approaches_to_MT_Part_1_8-02,l_text_topics,topic_8,31.72
61,Course1_W5-S1-L4_Classical_Approaches_to_MT_Part_1_8-02,l_text_topics,topic_10,3.22
61,Course1_W5-S1-L4_Classical_Approaches_to_MT_Part_1_8-02,l_text_topics,topic_12,49.27
62,Course1_W5-S1-L5_Classical_Approaches_to_MT_Part_2_5-56,l_text_topics,topic_4,13.58
62,Course1_W5-S1-L5_Classical_Approaches_to_MT_Part_2_5-56,l_text_topics,topic_10,27.44
62,Course1_W5-S1-L5_Classical_Approaches_to_MT_Part_2_5-56,l_text_topics,topic_12,58.77
63,Course1_W5-S1-L6_Introduction_to_Statistical_MT_12-31,l_text_topics,topic_12,99.88
64,Course1_W5-S2-L1_Introduction_3-24,l_text_topics,topic_12,99.59
65,Course1_W5-S2-L2_IBM_Model_1_Part_1_13-06,l_text_topics,topic_0,47.87
65,Course1_W5-S2-L2_IBM_Model_1_Part_1_13-06,l_text_topics,topic_12,52.01
66,Course1_W5-S2-L3_IBM_Model_1_Part_2_9-01,l_text_topics,topic_0,38.86
66,Course1_W5-S2-L3_IBM_Model_1_Part_2_9-01,l_text_topics,topic_4,3.2
66,Course1_W5-S2-L3_IBM_Model_1_Part_2_9-01,l_text_topics,topic_12,57.8
67,Course1_W5-S2-L4_IBM_Model_2_11-27,l_text_topics,topic_0,32.4
67,Course1_W5-S2-L4_IBM_Model_2_11-27,l_text_topics,topic_4,4.17
67,Course1_W5-S2-L4_IBM_Model_2_11-27,l_text_topics,topic_6,9.25
67,Course1_W5-S2-L4_IBM_Model_2_11-27,l_text_topics,topic_12,54.06
68,Course1_W5-S2-L5_The_EM_Algorithm_for_IBM_Model_2_Part_1_5-09,l_text_topics,topic_0,24.58
68,Course1_W5-S2-L5_The_EM_Algorithm_for_IBM_Model_2_Part_1_5-09,l_text_topics,topic_7,13.81
68,Course1_W5-S2-L5_The_EM_Algorithm_for_IBM_Model_2_Part_1_5-09,l_text_topics,topic_11,15.3
68,Course1_W5-S2-L5_The_EM_Algorithm_for_IBM_Model_2_Part_1_5-09,l_text_topics,topic_12,37.03
68,Course1_W5-S2-L5_The_EM_Algorithm_for_IBM_Model_2_Part_1_5-09,l_text_topics,topic_14,9.07
69,Course1_W5-S2-L6_The_EM_Algorithm_for_IBM_Model_2_Part_2_8-37,l_text_topics,topic_0,19.13
69,Course1_W5-S2-L6_The_EM_Algorithm_for_IBM_Model_2_Part_2_8-37,l_text_topics,topic_6,19.55
69,Course1_W5-S2-L6_The_EM_Algorithm_for_IBM_Model_2_Part_2_8-37,l_text_topics,topic_9,1.07
69,Course1_W5-S2-L6_The_EM_Algorithm_for_IBM_Model_2_Part_2_8-37,l_text_topics,topic_11,50.03
69,Course1_W5-S2-L6_The_EM_Algorithm_for_IBM_Model_2_Part_2_8-37,l_text_topics,topic_12,10.08
70,Course1_W5-S2-L7_The_EM_Algorithm_for_IBM_Model_2_Part_3_9-28,l_text_topics,topic_0,18.14
70,Course1_W5-S2-L7_The_EM_Algorithm_for_IBM_Model_2_Part_3_9-28,l_text_topics,topic_6,24.59
70,Course1_W5-S2-L7_The_EM_Algorithm_for_IBM_Model_2_Part_3_9-28,l_text_topics,topic_11,52.48
70,Course1_W5-S2-L7_The_EM_Algorithm_for_IBM_Model_2_Part_3_9-28,l_text_topics,topic_12,4.63
71,Course1_W5-S2-L8_The_EM_Algorithm_for_IBM_Model_2_Part_4_4-52,l_text_topics,topic_0,2.0
71,Course1_W5-S2-L8_The_EM_Algorithm_for_IBM_Model_2_Part_4_4-52,l_text_topics,topic_11,93.73
71,Course1_W5-S2-L8_The_EM_Algorithm_for_IBM_Model_2_Part_4_4-52,l_text_topics,topic_13,3.99
72,Course1_W5-S2-L9_Summary_1-48,l_text_topics,topic_0,26.46
72,Course1_W5-S2-L9_Summary_1-48,l_text_topics,topic_6,35.72
72,Course1_W5-S2-L9_Summary_1-48,l_text_topics,topic_10,8.78
72,Course1_W5-S2-L9_Summary_1-48,l_text_topics,topic_11,11.6
72,Course1_W5-S2-L9_Summary_1-48,l_text_topics,topic_12,16.78
73,Course1_W6-S1-L1_Introduction_0-41,l_text_topics,topic_0,2.64
73,Course1_W6-S1-L1_Introduction_0-41,l_text_topics,topic_12,95.72
74,Course1_W6-S1-L2_Learning_Phrases_from_Alignments_Part_1_9-18,l_text_topics,topic_0,56.95
74,Course1_W6-S1-L2_Learning_Phrases_from_Alignments_Part_1_9-18,l_text_topics,topic_8,4.8
74,Course1_W6-S1-L2_Learning_Phrases_from_Alignments_Part_1_9-18,l_text_topics,topic_12,38.12
75,Course1_W6-S1-L3_Learning_Phrases_from_Alignments_Part_2_7-01,l_text_topics,topic_0,99.78
76,Course1_W6-S1-L4_Learning_Phrases_from_Alignments_Part_3_8-47,l_text_topics,topic_0,99.84
77,Course1_W6-S1-L5_A_Sketch_of_Phrase-based_Translation_8-17,l_text_topics,topic_6,62.78
77,Course1_W6-S1-L5_A_Sketch_of_Phrase-based_Translation_8-17,l_text_topics,topic_9,14.12
77,Course1_W6-S1-L5_A_Sketch_of_Phrase-based_Translation_8-17,l_text_topics,topic_12,22.96
78,Course1_W6-S2-L1_Definition_of_the_Decoding_Problem_Part_1_9-12,l_text_topics,topic_0,24.69
78,Course1_W6-S2-L1_Definition_of_the_Decoding_Problem_Part_1_9-12,l_text_topics,topic_4,1.44
78,Course1_W6-S2-L1_Definition_of_the_Decoding_Problem_Part_1_9-12,l_text_topics,topic_6,48.14
78,Course1_W6-S2-L1_Definition_of_the_Decoding_Problem_Part_1_9-12,l_text_topics,topic_7,2.28
78,Course1_W6-S2-L1_Definition_of_the_Decoding_Problem_Part_1_9-12,l_text_topics,topic_12,23.3
79,Course1_W6-S2-L2_Definition_of_the_Decoding_Problem_Part_2_13-00,l_text_topics,topic_6,99.88
80,Course1_W6-S2-L3_Definition_of_the_Decoding_Problem_Part_3_10-43,l_text_topics,topic_6,99.84
81,Course1_W6-S2-L4_The_Decoding_Algorithm_Part_1_14-39,l_text_topics,topic_1,17.92
81,Course1_W6-S2-L4_The_Decoding_Algorithm_Part_1_14-39,l_text_topics,topic_6,80.82
81,Course1_W6-S2-L4_The_Decoding_Algorithm_Part_1_14-39,l_text_topics,topic_12,1.16
82,Course1_W6-S2-L5_The_Decoding_Algorithm_Part_2_6-23,l_text_topics,topic_6,69.62
82,Course1_W6-S2-L5_The_Decoding_Algorithm_Part_2_6-23,l_text_topics,topic_11,30.16
83,Course1_W6-S2-L6_The_Decoding_Algorithm_Part_3_12-29,l_text_topics,topic_6,75.63
83,Course1_W6-S2-L6_The_Decoding_Algorithm_Part_3_12-29,l_text_topics,topic_11,24.25
84,Course1_W7-S1-L1_Introduction_0-47,l_text_topics,topic_7,8.74
84,Course1_W7-S1-L1_Introduction_0-47,l_text_topics,topic_11,13.94
84,Course1_W7-S1-L1_Introduction_0-47,l_text_topics,topic_12,76.03
85,Course1_W7-S1-L2_Two_Example_Problems_11-19,l_text_topics,topic_7,17.37
85,Course1_W7-S1-L2_Two_Example_Problems_11-19,l_text_topics,topic_11,21.72
85,Course1_W7-S1-L2_Two_Example_Problems_11-19,l_text_topics,topic_12,60.8
86,Course1_W7-S1-L3_Features_in_Log-Linear_Models_Part_1_13-56,l_text_topics,topic_6,7.31
86,Course1_W7-S1-L3_Features_in_Log-Linear_Models_Part_1_13-56,l_text_topics,topic_7,18.93
86,Course1_W7-S1-L3_Features_in_Log-Linear_Models_Part_1_13-56,l_text_topics,topic_11,25.75
86,Course1_W7-S1-L3_Features_in_Log-Linear_Models_Part_1_13-56,l_text_topics,topic_12,47.58
87,Course1_W7-S1-L4_Features_in_Log-Linear_Models_Part_2_10-13,l_text_topics,topic_4,6.15
87,Course1_W7-S1-L4_Features_in_Log-Linear_Models_Part_2_10-13,l_text_topics,topic_7,3.16
87,Course1_W7-S1-L4_Features_in_Log-Linear_Models_Part_2_10-13,l_text_topics,topic_11,24.84
87,Course1_W7-S1-L4_Features_in_Log-Linear_Models_Part_2_10-13,l_text_topics,topic_12,65.72
88,Course1_W7-S1-L5_Definition_of_Log-linear_Models_Part_1_11-50,l_text_topics,topic_6,40.84
88,Course1_W7-S1-L5_Definition_of_Log-linear_Models_Part_1_11-50,l_text_topics,topic_7,28.67
88,Course1_W7-S1-L5_Definition_of_Log-linear_Models_Part_1_11-50,l_text_topics,topic_11,30.34
89,Course1_W7-S1-L6_Definition_of_Log-linear_Models_Part_2_3-45,l_text_topics,topic_6,17.06
89,Course1_W7-S1-L6_Definition_of_Log-linear_Models_Part_2_3-45,l_text_topics,topic_11,73.14
89,Course1_W7-S1-L6_Definition_of_Log-linear_Models_Part_2_3-45,l_text_topics,topic_12,9.28
90,Course1_W7-S1-L7_Parameter_Estimation_in_Log-linear_Models_Part_1_12-44,l_text_topics,topic_6,9.94
90,Course1_W7-S1-L7_Parameter_Estimation_in_Log-linear_Models_Part_1_12-44,l_text_topics,topic_11,89.93
91,Course1_W7-S1-L8_Parameter_Estimation_in_Log-linear_Models_Part_2_4-13,l_text_topics,topic_6,16.44
91,Course1_W7-S1-L8_Parameter_Estimation_in_Log-linear_Models_Part_2_4-13,l_text_topics,topic_11,68.29
91,Course1_W7-S1-L8_Parameter_Estimation_in_Log-linear_Models_Part_2_4-13,l_text_topics,topic_12,14.96
92,Course1_W7-S1-L9_Smoothing-Regularization_in_Log-linear_Models_15-12,l_text_topics,topic_7,32.61
92,Course1_W7-S1-L9_Smoothing-Regularization_in_Log-linear_Models_15-12,l_text_topics,topic_11,58.35
92,Course1_W7-S1-L9_Smoothing-Regularization_in_Log-linear_Models_15-12,l_text_topics,topic_12,8.94
93,Course1_W8-S1-L1_Introduction_1-41,l_text_topics,topic_12,99.16
94,Course1_W8-S1-L2_Recap_of_the_Tagging_Problem_3-15,l_text_topics,topic_6,11.8
94,Course1_W8-S1-L2_Recap_of_the_Tagging_Problem_3-15,l_text_topics,topic_8,13.39
